genre,meta_mixed,meta_negative,meta_positive,metascore,movie_title,release_date,user_mixed,user_negative,user_positive,userscore
"Horror,Comedy",1,9,0,17,Tyler Perry's Boo 2! A Madea Halloween,20-Oct-17,3,28,6,2.3
"Adventure,Comedy",8,0,11,63,Pee-wee's Big Holiday,18-Mar-16,10,2,24,6.9
Drama,1,0,13,83,Blind,4-Sep-15,2,2,31,7.7
"Adventure,Thriller,Horror",1,14,0,15,Jaws: The Revenge,17-Jul-87,4,28,3,2.1
"Action,Drama,War",1,0,24,81,Shadow,3-May-19,6,2,26,7.5
"Romance,Crime",9,0,4,52,London Boulevard,11-Nov-11,16,6,12,5.8
"Adventure,Animation,Family,Musical",14,7,3,38,The Jungle Book 2,14-Feb-03,14,14,6,4.4
"Sport,Comedy",4,8,1,25,The Comebacks,19-Oct-07,1,24,9,3.1
"Drama,Sport,Comedy",0,0,25,85,Offside,23-Mar-07,3,3,27,7.9
"Action,Drama,Comedy,Crime",24,16,2,35,The Kitchen,9-Aug-19,11,13,9,4.1
"Action,Biography,Drama,Thriller,Crime",3,0,15,72,Mesrine: Public Enemy No. 1,3-Sep-10,2,2,28,7.8
"Drama,Romance",12,1,4,49,Daddy's Little Girls,14-Feb-07,7,11,14,5.5
"Family,Documentary",1,0,25,87,To Be and to Have,19-Sep-03,0,5,26,8.1
Drama,2,0,22,82,Rams,3-Feb-16,0,3,28,7.6
"Crime,Documentary",3,0,14,78,Amanda Knox,30-Sep-16,3,3,25,7.2
"Comedy,Crime",15,1,12,60,Life of Crime,29-Aug-14,13,3,15,6.6
"Comedy,Romance",17,2,14,53,Hysteria,18-May-12,15,3,13,5.9
"Drama,Mystery,Crime",5,0,10,77,Red Riding Trilogy,3-Mar-09,11,1,18,7.1
Documentary,9,1,23,63,Babies,7-May-10,10,5,14,5.7
"Drama,Documentary",2,0,16,76,Dirty Wars,7-Jun-13,1,2,25,8.2
Drama,8,0,25,73,"Like Father, Like Son",17-Jan-14,1,2,25,7.9
"Drama,Mystery,Thriller",2,0,16,73,Red Road,13-Apr-07,2,1,25,7.9
